TOP SECRET//COMINT//REL TO USA, FVEY

BACONRIDGE-2011 (BOD)

BACON RIDGE

AREAS	TEXAS
Personnel #s	270
Workstations	210
Workstation Area SqFt TX=100sqft vs GA/HI=72sqft	21,000
	
Operations Floor	1881
Ops Breakout Rooms	11
Large 350 sq ft	5
Medium 250 sq ft	4
Small 150 sq ft	2
Ops Breakout Rooms Total	3109
	
ROC Training Lab (RTL)	996
Technical Demonstration Center (TDC)	732
Maintenance Lab	-700
Data Closet	800
Conference Room	732
Caves	(8) - 85 = 680
Break/Locker area	-850
	
Data Center Racks/sqft	200 / 9,450
Total Sq Ft	*42000

TOP SECRET//COMINT//REL TO USA, FVEY
