TOP SECRET STRAP1 COMINT							
							
CNE End Point Requirements							
CATEGORY O Experimt O Refinemer O Bug Fix O ALL	REQTYPE  O Capability O Convergenc O Query O Taskir O Viewe  Oall	PRIORITY  O Priority O Priority  O Priority oall		This spreadsheet contains the collated CNE user requirements captured the Endpoint initiative lead.  To cut down the amount of information visible select the material you want to see via the Radio Buttons and then press "GO".		Requirements are divided into a number of CATEGORIES dentifying the amount of INNOVATION required to satisfy the requirement  Requirements are labelled by TYPE - referring to the primary issue associated with the requirement  Requirements are PRIORITISED - Priority 1 being the highest (essential) and Priority 3 the lowest (nice to have)	
REQUIREMENTS						PLANNED DEVELOPMENT WORK	
Category	Type	Priority	Number	Description		Individual Tasks - with RAG status	
Refine	Capability	1	Cap.01		Request document / file properties and task on the basis of the same (author/etc)		STARGATE (Manual authorisation tool)
Experiment	Capability	1	Cap.02	■Detect internal network activity (volumes and movement of Hspecific data types)		:	
Experiment	Capability	1	Cap.03	■Low latency presence data for use in tip-off collection			
Experiment	Capability	1	Cap.04		Remote indexinq		ROCK OPERA remote indexing
Experiment	Capability	1	Cap.05		Use API type functions of operating systems like their indexing	■	
Experiment	Capability	2	Cap.06		characterisation of unallocated or deleted space - potentially a source of intelligence on internet-facing target machines		STARGATE (Daredevil remote forensics pluqin)
							Quincey plugin
Experiment	Capability	2	Cap.07	■Destination IP address from messenger client packet capture			
Experiment	Capability	2	Cap.08		PCS - capability aqainst mobile devices		Research in CNE and ICTR
Experiment	Capability	2	Cap. 09		ability to list programs and applications commonly used on the machine (pulled from Registry and program files?) - and to monitor frequency of use		
Experiment	Capability	2	Cap. 10	■Follow/monitor movement of files / movement of users (key |to identifying the valuable parts of a network)			STARGATE (network summary pluqin)
							STARGATE (Endpoint data characterisation)
Experiment	Capability	2	Cap.11		ReiWi!M8l!rfofiffi&:sL!)§li!?(i1i&rvester (with logics applied to implant on USB to auto-retrieve data).		
Refine	Capability	2	Cap. 12		web browsing content (html, cookies etc)		
Experiment	Capability	3	Cap. 13	Mchanqe the registry (eg browser stain)			
Experiment	Capability	3	Cap. 14	■Collect the first line of the document text / the first 'n' ^characters.			

Experiment	Capability	3	Cap. 15	:	CNA / CND profiling - Be able to search on hacking profile/signature so can spot attacks leaving a box. Need	:	STARGATE (Endpoint data characterisation)
Experiment	Can ability	3	Cap. 16		Remote hashinq of files		
Experiment	Convergence	1	Conv.01		Data must be of a format which enables it to be merged with data from other sources / tools in any future converged platform. E.g. putting internet selector (TDI) related material into passive events systems and auto-correlating activity from a CNE implant to the same intercept collected in passive		STARGATE ROADMAP iteration 7-10 (corporate framework, native viewing, CMS, convergence)
Experiment	Convergence	1	Conv.02		Metadata must be exportable to other relevant tools.		STARGATE (Graphical query enqine)
Experiment	Convergence	1	Conv.03		Geolocation information Google earth /C.O.R.E. / K.I.M		STARGATE ROADMAP iteration 7-10 (corporate framework, native viewing, CMS, convergence)
Experiment	Convergence	2	Conv.04		Ability to compare EndPoint data with JTRIG forensic data &	■	CNE metadata into the CMS
Experiment	Convergence	2	Conv.05	:	Develop a fingerprint concept (includes characterisation) - application profiles exportable to search in XKEYSCORE		STARGATE (Endpoint data characterisation)
							STARGATE (Machine survey/summarv component)
